0,Série,Geração,Temporada,Descrição,Episódios,Região
1,Série Original (O Início/Ouro e Prata),Primeira (O Início),Liga Índigo,"O treinador novato Ash Ketchum começa sua jornada na região de Kanto, deixando sua casa na Vila de Pallet com o único Pokémon inicial que o Professor Carvalho tinha em mãos: um relutante e mal-humorado Pikachu. A jornada de Ash o leva a derrotar todos os Líderes de Ginásio e chegar à Liga Pokémon e ele é acompanhado por dois treinadores que se tornam seus amigos, Misty e Brock. Mostra a jornada de Ash, Misty e Brock na Liga Índigo, na Região de Kanto. Tem 83 episódios e é a temporada em que mais tem episódios da saga Pokémon.",001-083,Kanto
2,Série Original (O Início/Ouro e Prata),Aventuras nas Ilhas Laranja,"Depois de competir na Liga Índigo e não ter o desempenho esperado, Ash viaja para o Arquipélago Laranja para receber a Poké Bola GS da Professora Ivy. Durante seu tempo lá, Ash compete em outra Liga Pokémon, a Liga Laranja e conhece um novo amigo chamado Tracey Sketchit. Mostra a jornada de Ash, Misty e Tracey na Liga Laranja.Tem 35 episódios",084-118,Ilhas Laranja,,
3,Segunda (Ouro e Prata),Liga Johto,"Quando o Professor Carvalho não consegue descobrir como abrir a Pokébola GS no retorno de Ash para Pallet, o Professor manda Ash para Johto para dar a Pokébola especial para Kurt. Durante seu tempo lá, Ash novamente compete em uma Liga Pokémon, a Liga Johto. Inicia a jornada de Ash, Misty e Brock em Johto.Tem 41 episódios",119-159,Johto,
4,Segunda (Ouro e Prata),LCampeões da Liga Johto,Continua com as aventuras de Ash e seus amigos em Johto.Tem 52 episódios,160-211,,,
5,Segunda (Ouro e Prata),LMaster Quest,"Ash, Misty e Brock em sua jornada descobrem um misterioso Pokémon, um Gyarados vermelho. Eles descobrem que é um dos muitos Magikarp que foi forçado a evoluir por um plano de cientistas da Equipe Rocket. Com a ajuda de Lance, um mestre pokémon, Ash e seus amigos resgatam o Gyarados. Após encerrar as aventuras em Johto, Misty volta a Cidade de Cerulean, Brock volta a Cidade de Pewter e Ash segue para Vila de Pallet, indo depois para a região de Hoenn. Tem 65 episódios.",212-276,,,
6,Segunda (Ouro e Prata),LRubi e Safira,Terceira,Pokémon: Avançado,"Inicia as Aventuras de Ash e Brock em Hoenn. Nesta região eles conhecem May, uma treinadora novata da Cidade de Petalburg que a princípio apenas deseja viajar. Eventualmente, ela aprende sobre Concursos Pokémon e declara-se uma Coordenadora Pokémon, treinando para ganhar Fitas para que ela possa entrar no Grande Festival de Hoenn. O irmão de May, Max, também viaja com o grupo. Então tem se a jornada de Ash conquistando insígnias para liga Hoenn e May conquistando fitas em concursos Pokémon. Tem 40 episódios",277-316,Hoenn
7,Desafio Avançado,"Continua com a jornada de Ash e seus amigos em Hoenn. Eles encontram Misty que liberta seu Togepi, já evoluído em Togetic. Também encontram a Equipe Magma e Equipe Aqua. Tem 52 episódios",317-368,,,
8,Batalha Avançada,"As equipes Magma e Aqua despertam Groudon e Kyogre, apenas para perceber o verdadeiro perigo de liberar seu poder. Lance, um mestre pokémon, ajuda a resolver a situação. Encerram-se as aventuras em Hoenn, com Ash e May competido na Liga Hoenn e no Grande Festival de Hoenn, respectivamente, e começa a Jornada de Ash conquistando símbolos da Batalha da Fronteira.Tem 53 episódios",369-422,,,
9,Batalha da Fronteira,"Conclui a Jornada na Batalha da Fronteira. May vai para Johto, Max volta para casa em Hoenn e Ash e Brock seguem para a região de Sinnoh. Tem 48 episódios",423-469,Kanto,,
10,Diamante e Pérola,Quarta,Diamante e Pérola,"Inicia as aventuras de Ash e Brock em Sinnoh com uma nova amiga: Dawn, da Vila de Twinleaf, que quer ser uma top-coordenadora como sua mãe. Ash ganha um novo rival: Paul. Também conhecem Cynthia, uma mestra pokémon. Tem 52 episódios",470-521,Sinnoh
